PRO_REFERENCIA;PRO_DESCRICAO;PRO_MARCA;PRO_PRECO;PRO_UNIDADE;PRO_REFERENCIAFOR;PRO_PESO;PRO_CLASSIFICACAO;PRO_BARRA;PRO_ESTOQUE
00618;CHAIRA S/M N.8 31CM;SIMONAGGIO;7,566300;UN;1213;,133000;8205.51.00;7896211812135;286,000000
00623;ESPETO AÇO NIQUEL DUPLO 65CM;SIMONAGGIO;7,150000;UN;965;,239000;7323.99.00;7896211809654;828,000000
00624;ESPETO AÇO NIQUEL DUPLO 75CM;SIMONAGGIO;7,700000;UN;975;,269000;7323.99.00;7896211809753;1.018,000000
00625;ESPETO AÇO NIQUEL DUPLO 85CM;SIMONAGGIO;8,200000;UN;985;,297000;7323.99.00;7896211809852;1.131,000000
00626;ESPETO AÇO NIQUEL DUPLO 95CM;SIMONAGGIO;8,830000;UN;995;,330000;7323.99.00;7896211809951;468,000000
00637;KIT CUIA CHIMARAO C/ BOMBA;SIMONAGGIO;24,040000;UN;210/2;,321000;7615.10.00;7896211812104;290,000000
00645;CONJ C/3 GARFOS MESA VERDE BELIZE;SIMONAGGIO;2,500000;UN;952/3;,063000;8215.99.10;7896211895237;955,000000
00647;CONJ C/3 COLHERES MESA VERDE BELIZE;SIMONAGGIO;2,790000;UN;951/3;,073000;8215.99.10;7896211895138;913,000000
00649;CONJ C/3 FACAS CHURRASCO VERDE BELIZE;SIMONAGGIO;3,120000;UN;954/3;,054000;8211.91.00;7896211895435;1.076,000000
00650;CONJ P/ CHURRASCO 5 PCS;SIMONAGGIO;34,180000;UN;8850/05;,953000;7323.93.00;7896211808831;17,000000
00687;GARRAFAO TERMICO VERMELHO 5 LTS;SIMONAGGIO;27,390000;UN;GT 201-2;,857000;3923.30.00;7896211800279;176,000000
00688;GARRAFAO TERMICO AZUL 5 LTS;SIMONAGGIO;27,390000;UN;GT 201-1;,871000;3923.30.00;7896211800170;280,000000
00694;FACA CARBONO 6 POL.;SIMONAGGIO;5,780000;UN;FC-06;,075000;8211.92.10;7896211814665;2.564,000000
00695;FACA CARBONO 7 POL.;SIMONAGGIO;5,870000;UN;FC-07;,083000;8211.92.10;7896211814771;2.540,000000
00696;FACA CARBONO 8 POL.;SIMONAGGIO;6,330000;UN;FC-08;,088000;8211.92.10;7896211814887;2.041,000000
00697;ESPETO AÇO INOX SIMPLES 60CM;SIMONAGGIO;3,500000;UN;460;,135000;7323.93.00;7896211814610;475,000000
00698;ESPETO AÇO INOX SIMPLES 70CM;SIMONAGGIO;3,820000;UN;470;,147000;7323.93.00;7896211814672;810,000000
00699;ESPETO AÇO INOX SIMPLES 80CM;SIMONAGGIO;4,130000;UN;480;,155000;7323.93.00;7896211814689;505,000000
00700;ESPETO AÇO INOX SIMPLES 90CM;SIMONAGGIO;4,460000;UN;490;,179000;7323.93.00;7896211814696;469,000000
00861;PANELA DE PRESSAO POLIDA 3LTS;PANELUX;37,500750;UN;001012;,801000;7615.10.00;7898147771012;110,000000
00862;PANELA DE PRESSAO POLIDA 7LTS;PANELUX;57,333940;UN;001036;1,367000;7615.10.00;7898147771036;152,000000
00863;PANELA DE PRESSAO ANTIADERENTE 4,5LTS;PANELUX;60,296600;UN;001050;1,029000;7615.10.00;7898147771050;104,000000
00864;PANELA DE PRESSAO POLIDA 4,5LTS;PANELUX;34,730000;UN;001029;,918000;7615.10.00;7898147771029;642,000000
00912;PIPOQUEIRA N.20 3,5 LTS;NICOPAN;23,900000;UN;147;,413000;7615.10.00;7897186601472;2.175,000000
00919;FORMA P/ PIZZA PEROLA N.30;MTA;9,761380;UN;152;,200000;7615.10.00;7897186601526;-37,000000
00920;FORMA P/ PIZZA PEROLA N.35;MTA;12,578450;UN;125;,268000;7615.10.00;7897186601250;-30,000000
00943;BALDE P/ GELO 4LTS PÉROLA;MTA;16,800120;UN;135;,233000;7615.10.00;7897186601359;405,000000
00959;CRISTAL FERVEDOR S/ TAMPA N.12 1,3LTS;MTA;12,171050;UN;6061;,222000;7615.10.00;7897186660615;14,000000
00989;FRIGIDEIRA ANTIADERENTE P/ 1 OVO;MTA;6,959790;UN;323;,077000;7615.10.00;7897186603230;,000000
00993;FERVEDOR S/ TAMPA ANTIADERENTE N.14 1,8LT;MTA;18,509710;UN;876;,247000;7615.10.00;7897186608761;59,000000
00998;PANELA TRYLON ANTIADERENTE N.16 1,3LTS;MTA;23,845480;UN;888;,297000;7615.10.00;7897186608884;14,000000
00999;PANELA TRYLON ANTIADERENTE N.18 1,7LTS;MTA;26,672490;UN;889;,322000;7615.10.00;7897186608891;41,000000
01000;PANELA TRYLON ANTIADERENTE N.20 2,5LTS;MTA;30,258400;UN;890;,427000;7615.10.00;7897186608907;47,000000
01006;FORMA P/ PIZZA CROCANTE ANTIADERENTE N.35;MTA;21,804560;UN;3645;,271000;7615.10.00;7897186636450;38,000000
01012;CONJ FORMA PUDIM C/ TAMPA VIDRO 2,4LTS;MTA;49,610660;UN;8212;1,027000;7615.10.00;7897186682129;93,000000
01045;PANQUEQUEIRA ANTIADERENTE N.22;MTA;19,823070;UN;351;,291000;7615.10.00;7897186603513;65,000000
01051;FERVEDOR S/ TAMPA ANTIADERENTE N.12 1LT;MTA;14,936300;UN;875;,214000;7615.10.00;7897186608754;10,000000
01068;ASSADEIRA REDONDA FUNDO REMOVIVEL AAD. N.26;MTA;27,603550;UN;855;,363000;7615.10.00;7897186608556;3,000000
01079;GARRAFA TERM. ROLHA LIDER VERMELHA 320ML;INVICTA;19,020010;UN;101080140112;,287000;9617.00.10;7891691180149;173,000000
01092;GARRAFA TERM. PRESSAO GLT BRANCO 1 LT;INVICTA;33,300000;UN;100773110107;,661000;9617.00.10;7891691273117;72,000000
01098;POTE DE VIDRO LISO 1,3LTS CX-12;INVICTA;89,760000;CX/12;101528011622;6,120000;7013.49.00;7891691028014;1.092,000000
01100;GARRAFA TERM. PRESSAO GLT CROMADA 1 LT;INVICTA;42,699410;UN;100776210121;,682000;9617.00.10;7891691076213;96,000000
01108;GARRAFAO TERMICO VERMELHO 3 LTS;INVICTA;25,110000;UN;101487030112;,552000;3923.30.00;7891691187032;292,000000
01109;GARRAFAO TERMICO VERMELHO 5 LTS;INVICTA;21,709990;UN;101487050112;,624000;3923.30.00;7891691187056;1.688,000000
01110;BOTIJAO TERMICO VERMELHO 9LTS C/ TRIPE;INVICTA;95,897600;UN;101487090112;1,929000;3923.30.00;7891691187094;101,000000
01111;BOTIJAO TERMICO VERMELHO 12LTS C/ TRIPE;INVICTA;116,800000;UN;101487120112;1,867000;3923.30.00;7891691187124;77,000000
01113;CAIXA TERMICA VERMELHA 24LTS;INVICTA;149,757260;UN;101387240112;3,388000;3923.30.00;7891691187247;31,000000
01114;GARRAFA TERM. ROLHA VOGUE COLOR 750ML;INVICTA;16,700000;UN;100688031507;,550000;9617.00.10;7891691088032;2.062,000000
01118;CAIXA TERMICA VERMELHA 45LTS;INVICTA;222,874390;UN;101387450112;5,489000;3923.30.00;7891691187452;15,000000
01132;ESCORREDOR FANTASTIK C/ PORTA COPO;ARTHI;26,900000;UN;1067-C;,684000;7323.99.00;7897807410674;355,000000
01133;ESCORREDOR PRATO CAMA CROMADO;ARTHI;27,300000;UN;1072-C;,751000;7323.99.00;7897807410728;305,000000
01135;ESCORREDOR DE LOUCA BERCO CROMADO;ARTHI;24,010000;UN;1074-C;,678000;7323.99.00;7897807410742;114,000000
01141;PORTA COPO DE PAREDE 20 LUGARES CROMADO;ARTHI;19,079780;UN;1113-C;,573000;7323.99.00;7897807411138;116,000000
01146;CANTONEIRA TRIPLA EPOXI;ARTHI;22,578430;UN;2138-E;,596000;9403.20.00;7897807421380;36,000000
01147;CANTONEIRA DUPLA EPOXI;ARTHI;16,993600;UN;2137-E;,389000;9403.20.00;7897807421373;222,000000
01148;PORTA SHAMPOO POP CROMADO  42X25CM;ARTHI;7,640000;UN;1133-C;,188000;9403.20.00;7897807411336;428,000000
01153;CONJ C/ 2 CABIDE P/ TOALHA E 4 GANCHOS;ARTHI;8,100000;CJ;0070/C;,151000;7326.20.00;7897807400705;206,000000
01154;CABIDE P/ SAIA C/ 2 PCS CROMADO C/ PRENDEDOR;ARTHI;8,359920;CJ;0030/C;,076000;8302.50.00;7897807400309;127,000000
01155;CABIDE TINTUREIRO CROMADO C/ 3 PCS;ARTHI;8,044810;CJ;0050/C;,221000;8302.50.00;7897807400507;291,000000
01156;CABIDE P/ CALCA CROMADO C/ 2 PCS 36X30CM;ARTHI;9,273000;CJ;0060/C;,278000;8302.50.00;7897807400606;187,000000
01158;SUPORTE P/ COADOR DE CAFE COMPLETO CROMADO;ARTHI;10,260000;UN;1120-E;,191000;7323.99.00;7897807411206;317,000000
01159;SUPORTE P/ BOTIJAO GAS C/ RODA;ARTHI;10,720000;UN;1040-C;,322000;7326.20.00;7897807410407;784,000000
01186;KIT PARA PIA 3 PCS BRANCO C/ ARAMADO;ARTHI;28,560000;UN;1199-C;,567000;7323.99.00;7897807411992;132,000000
01187;SUPORTE P/ ROLOS C/ VENTOSA;ARTHI;18,380000;UN;1150-C;,244000;7323.99.00;7897807411503;39,000000
01206;RALADOR 4 FACES 20X09CM;VIEL;4,292850;UN;3201;,105000;7323.99.00;7896835232012;5.600,000000
01207;LIXEIRA C/ PEDAL CINZA C/ CESTO 4,3LTS;VIEL;33,767450;UN;3502;,708000;7323.99.00;7896835235020;77,000000
01208;LIXEIRA C/ PEDAL BRANCO C/ CESTO 4,3LTS;VIEL;33,770010;UN;3501;,713000;7323.99.00;7896835235013;114,000000
01209;LIXEIRA C/ PEDAL CINZA C/ CESTO 10LTS;VIEL;50,590000;UN;3562;1,224000;7323.99.00;7896835235624;51,000000
01210;LIXEIRA C/ PEDAL BRANCO C/ CESTO 10LTS;VIEL;50,590000;UN;3561;,978000;7323.99.00;7896835235617;79,000000
01214;FORMA P/ BOLO FUNDO MOVEL 25CM;VIEL;17,160000;UN;3302;,341000;7323.99.00;7896835233026;208,000000
01215;FORMA P/ BOLO FUNDO MOVEL 27CM;VIEL;18,020000;UN;3303;,362000;7323.99.00;7896835233033;86,000000
01216;ABRIDOR DE LATA E GARRAFA;VIEL;2,217390;UN;3103;,029000;8205.51.00;7896835231039;,000000
01217;ABRIDOR DE GARRAFA;VIEL;1,947400;UN;3101;,031000;7323.99.00;7896835231015;592,000000
01218;SACA ROLHA CABO PLASTICO;VIEL;2,963040;UN;3109;,025000;7323.99.00;7896835231091;141,000000
01261;PENEIRA DE FUBA ARO DE MADEIRA 25CM;BERNARDI DUARTE;7,640000;UN;25325;,125000;9604.00.00;7898247440115;50,000000
01262;PENEIRA DE FUBA ARO DE MADEIRA 30CM;BERNARDI DUARTE;8,370000;UN;30325;,131000;9604.00.00;7898247440122;423,000000
01263;PENEIRA DE FUBA ARO DE MADEIRA 35CM;BERNARDI DUARTE;9,630000;UN;35325;,157000;9604.00.00;7898247440139;247,000000
01284;PENEIRA DE FUBA N.20;VITORIA;6,227080;UN;21;,076000;9604.00.00;7897477700211;681,000000
01285;PENEIRA DE FUBA N.25;VITORIA;8,520930;UN;22;,097000;9604.00.00;7897477700228;192,000000
01286;PENEIRA DE FUBA N.30;VITORIA;10,265350;UN;23;,108000;9604.00.00;7897477700235;510,000000
01287;RALO P/ PIA PEQUENO;VITORIA;3,153920;UN;109;,013000;9604.00.00;7897477700808;226,000000
01288;RALO P/ PIA GRANDE;VITORIA;3,455010;UN;108;,017000;9604.00.00;7897477700792;141,000000
01289;DOSADOR P/ GARRAFA E LATA 24X19X26MM;VITORIA;4,510000;UN;068;,017000;8309.90.00;7897477700785;500,000000
01306;ESCORREDOR DUPLO 39,5X26X25CM;NIQUELART;22,700000;UN;106A;,677000;7323.99.00;7896594811060;647,000000
01307;CANTONEIRA DUPLA;NIQUELART;26,117710;UN;306;,591000;7326.20.00;7896594803065;59,000000
01308;ESCORREDOR CAMA 47X38,2X14,7CM;NIQUELART;28,722810;UN;100;,782000;7323.99.00;7896594801009;252,000000
01309;CANTONEIRA SIMPLES;NIQUELART;16,927170;UN;305;,295000;7326.20.00;7896594803058;67,000000
01312;GRELHA ABAUALADA DUPLA MEDIA 74X25CM;NIQUELART;25,853700;UN;538;,550000;7326.20.00;7896594805380;160,000000
01313;GRELHA ABAULADA DUPLA PEQUENO 63X20CM;NIQUELART;18,239790;UN;508;,424000;7326.20.00;7896594805083;115,000000
01321;COLHER MADEIRA OVAL 24CM;STOLF;2,155960;UN;3-STD;,025000;4419.90.00;7897996700020;661,000000
